Month,Year,TotalOrders,MonthlyRevenue
01,2011,403,160785.83
02,2011,222,111135.89
03,2011,235,114665.97
04,2011,288,153648.7
05,2011,410,221643.35
06,2011,263,100986.67
07,2011,229,102805.12
08,2011,437,166366.51
09,2011,311,297252.1
10,2011,213,108208.59
11,2011,247,148346.38
12,2011,230,116341.39
13,2011,72,30613.07
14,2011,70,32124.68
15,2011,35,19060.22
16,2011,67,30321.82
17,2011,111,58417.97
18,2011,31,11384.14
20,2011,12,4772.34
21,2011,94,74869.23
22,2011,130,49664.89
23,2011,130,52716.15
24,2011,9,7802.5
26,2011,74,24009.48
27,2011,64,41199.37
28,2011,23,20036.27
29,2011,123,47830.14
30,2011,118,45554.27
31,2011,5,1623.54
